Month	Day	Period	Val
2	23	9	0
2	23	10	12.26
2	23	11	9.54
2	23	12	7.08
2	23	13	4.9
2	23	14	1.63
2	23	15	4.09
2	23	16	4.36
2	23	17	3.81
2	23	18	3.81
2	23	19	3.81
2	23	20	4.09
2	23	21	5.45
2	23	22	5.99
2	23	23	3.81
2	23	24	2.18
2	24	1	1.36
2	24	2	2.18
2	24	3	1.91
2	24	4	1.09
2	24	5	1.36
2	24	6	1.36
2	24	7	0
2	24	8	0
2	24	9	0
2	24	10	0
2	24	11	0
2	24	12	0
2	24	13	0.27
2	24	14	0
2	24	15	0
2	24	16	0.27
2	24	17	0
2	24	18	0.27
2	24	19	2.45
2	24	20	5.99
2	24	21	14.17
2	24	22	13.9
2	24	23	21.53
2	24	24	15.26
2	25	1	9.26
2	25	2	1.09
2	25	3	5.45
2	25	4	5.99
2	25	5	5.18
2	25	6	4.63
2	25	7	10.63
2	25	8	3.54
2	25	9	2.45
2	25	10	5.18
2	25	11	6.54
2	25	12	6.27
2	25	13	9.81
2	25	14	9.81
2	25	15	13.62
2	25	16	13.9
2	25	17	12.81
2	25	18	10.63
2	25	19	24.8
2	25	20	20.44
2	25	21	17.98
2	25	22	5.18
2	25	23	4.36
2	25	24	8.45
2	26	1	4.9
2	26	2	3.54
2	26	3	1.09
2	26	4	2.45
2	26	5	4.9
2	26	6	4.36
2	26	7	4.63
2	26	8	4.09
2	26	9	1.91
2	26	10	0.54
2	26	11	2.45
2	26	12	0.27
2	26	13	0.27
2	26	14	0
2	26	15	0.27
2	26	16	0.54
2	26	17	0.82
2	26	18	1.09
2	26	19	1.63
2	26	20	2.45
2	26	21	1.36
2	26	22	0
2	26	23	0
2	26	24	0
2	27	1	0.27
2	27	2	2.72
2	27	3	7.08
2	27	4	13.35
2	27	5	15.53
2	27	6	15.8
2	27	7	13.9
2	27	8	15.26
2	27	9	12.26
2	27	10	13.08
2	27	11	4.9
2	27	12	1.09
2	27	13	0
2	27	14	1.09
2	27	15	0.54
2	27	16	0.82
2	27	17	0.27
2	27	18	0.27
2	27	19	0.82
2	27	20	1.63
2	27	21	2.45
2	27	22	4.63
2	27	23	9.54
2	27	24	13.62
2	28	1	27.52
2	28	2	22.62
2	28	3	26.7
2	28	4	35.97
2	28	5	49.05
2	28	6	44.69
2	28	7	41.14
2	28	8	30.79
2	28	9	25.07
2	28	10	19.62
2	28	11	13.9
2	28	12	3.54
2	28	13	12.53
2	28	14	11.72
2	28	15	5.45
2	28	16	4.09
2	28	17	1.91
2	28	18	1.63
2	28	19	1.09
2	28	20	2.18
